维度,指标,单位,数据年份,数据来源,是否代理变量,预处理方式,纳入理由
创新供给能力,有效发明专利,件,2024,《江苏统计年鉴—2025》[19]；知识产权统计数据,直接,log1p,BCI 上游技术（神经工程、生物医学材料等）的知识产出储备
创新供给能力,万人专利,件/万人,2024,同上,代理（密度折算）,无,消除人口规模差异后的创新产出密度，反映城市在 BCI 上游技术领域的相对研发产出水平
创新供给能力,高校数,所,2024,江苏省教育厅 2024 年教育统计年报[20],直接,log1p,BCI 基础研究与医工交叉人才培养的核心平台载体
创新供给能力,高校教师,人,2024,同上,直接,log1p,神经科学、生物医学工程等相关学科的师资储备规模
创新供给能力,研究生在校,人,2024,同上,直接,log1p,BCI 研发与临床转化所需的高层次人才存量；泰州、宿迁原始值为 0，保留零值标记
创新供给能力,研究生招生,人,2024,同上,直接,log1p,反映 BCI 研发与临床转化人才培养的持续补充能力，区别于存量指标；泰州、宿迁原始值为 0
产业承载能力,GDP,亿元,2024,《江苏统计年鉴—2025》[19]；各地统计公报,直接,log1p,支撑 BCI 产业化全链条投入的综合经济基础
产业承载能力,居民可支配收入,元,2024,同上,直接,无,表征居民支付能力，影响高端医疗器械和康复服务市场需求
产业承载能力,工业增加值,亿元,2024,同上,直接,log1p,制造业整体规模，传感器与医疗器械等 BCI 中游制造环节的产业底座；无锡以同年中位数填补（3487.84 亿元）
产业承载能力,二产占比,%,2024,同上,直接,无,制造业在产业结构中的相对地位，支撑 BCI 硬件装备中试转化
产业承载能力,三产占比,%,2024,同上,直接,无,服务业发展水平，支撑 BCI 临床应用、康复服务和商业转化
医疗应用与转化基础,医院数,个,2024,江苏省卫健委 2024 年卫生统计年报[21],直接,log1p,BCI 手术植入、临床试验和神经康复的主要场景载体
医疗应用与转化基础,医疗机构总数,个,2024,同上,直接,log1p,城市整体医疗服务网络密度，支撑 BCI 术后分级康复和基层转诊覆盖
医疗应用与转化基础,万人床位,张/万人,2024,同上,代理（密度折算）,无,住院及术后康复的床位资源密度
医疗应用与转化基础,万人医师,人/万人,2024,同上,代理（密度折算）,无,BCI 手术植入、神经调控和康复评估依赖临床医师资源密度
医疗应用与转化基础,注册护士,万人,2024,同上,直接,log1p,术后护理和长期康复护理的人力基础